author,full_name,birth_year,death_year,gender,url
"Anstey, F.","Thomas Anstey Guthrie",1856,1934,Male,https://en.wikipedia.org/wiki/Thomas_Anstey_Guthrie
"Ballantyne, R. M.","Robert Michael Ballantyne",1825,1894,Male,https://en.wikipedia.org/wiki/R._M._Ballantyne
"Barrie, J. M.","James Matthew Barrie",1860,1937,Male,https://en.wikipedia.org/wiki/J._M._Barrie
"Burnett, F. H.","Frances Eliza Hodgson Burnett",1849,1924,Female,https://en.wikipedia.org/wiki/Frances_Hodgson_Burnett
"Carroll, L.","Lewis Carroll",1832,1898,Male,https://en.wikipedia.org/wiki/Lewis_Carroll
"Crockett, S. R.","Samuel Rutherford Crockett",1859,1914,Male,https://it.wikipedia.org/wiki/Samuel_Rutherford_Crockett
"Ewing, J. H. G.","Juliana Horatia Ewing",1841,1885,Female,https://en.wikipedia.org/wiki/Juliana_Horatia_Ewing
"Falkner, J. M.","J. Meade Falkner",1858,1932,Male,https://en.wikipedia.org/wiki/J._Meade_Falkner
"Farrar, F. W.","Frederic Farrar",1831,1903,Male,https://it.wikipedia.org/wiki/Frederic_Farrar
"Farrow, G. E.","George Edward Farrow",1862,1920,Male,https://en.wikipedia.org/wiki/G._E._Farrow
"Grahame, K.","Kenneth Grahame",1859,1932,Male,https://en.wikipedia.org/wiki/Kenneth_Grahame
"Haggard, H. R.","Sir Henry Rider Haggard",1856,1925,Male,https://en.wikipedia.org/wiki/H._Rider_Haggard
"Henty, G. A.","George Alfred Henty",1832,1902,Male,https://en.wikipedia.org/wiki/G._A._Henty
"Hughes, T.","Thomas Hughes",1822,1896,Male,https://en.wikipedia.org/wiki/Thomas_Hughes
"Ingelow, J.","Jean Ingelow",1820,1897,Female,https://en.wikipedia.org/wiki/Jean_Ingelow
"Jefferies, R.","Richard Jefferies",1848,1887,Male,https://en.wikipedia.org/wiki/Richard_Jefferies
"Kingsley, C.","Charles Kingsley",1819,1875,Male,https://en.wikipedia.org/wiki/Charles_Kingsley
"Kipling, R.","Rudyard Kipling",1865,1936,Male,https://en.wikipedia.org/wiki/Rudyard_Kipling
"Lang, A.","Andrew Lang",1844,1912,Male,https://en.wikipedia.org/wiki/Andrew_Lang
"MacDonald, G.","George MacDonald",1824,1905,Male,https://en.wikipedia.org/wiki/George_MacDonald
"Mare, W. De la","Walter de la Mare",1873,1956,Male,https://en.wikipedia.org/wiki/Walter_de_la_Mare
"Marryat, F.","Frederick Marryat",1792,1848,Male,https://en.wikipedia.org/wiki/Frederick_Marryat
"Martineau, H.","Harriet Martineau",1802,1876,Female,"https://en.wikipedia.org/wiki/Harriet_Martineau"
"Meade, L. T.","Elizabeth Thomasina Meade Smith",1844,1914,Female,https://en.wikipedia.org/wiki/L._T._Meade
"Molesworth, Mrs","Mary Louisa Molesworth",1839,1921,Female,https://en.wikipedia.org/wiki/Mary_Louisa_Molesworth
"Nesbit, E.","Edith Nesbit",1858,1924,Female,https://en.wikipedia.org/wiki/E._Nesbit
"Potter, B.","Beatrix Potter",1866,1943,Female,https://en.wikipedia.org/wiki/Beatrix_Potter
"Reed, T. B.","Talbot Baines Reed",1852,1893,Male,https://en.wikipedia.org/wiki/Talbot_Baines_Reed
"Ruskin, J.","John Ruskin",1819,1900,Male,https://en.wikipedia.org/wiki/John_Ruskin
"Sewell, A.","Anna Sewell",1820,1878,Female,https://en.wikipedia.org/wiki/Anna_Sewell
"Sinclair, C.","Catherine Sinclair",1800,1864,Female,https://en.wikipedia.org/wiki/Catherine_Sinclair
"Stevenson, R. L.","Robert Louis Stevenson",1850,1894,Male,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Stretton, H.","Hesba Stretton",1832,1911,Female,https://en.wikipedia.org/wiki/Hesba_Stretton
"Strickland, A.","Agnes Strickland",1796,1874,Female,https://en.wikipedia.org/wiki/Agnes_Strickland
"Thackeray, W. M.","William Makepeace Thackeray",1811,1863,Male,https://en.wikipedia.org/wiki/William_Makepeace_Thackeray
"Tytler, A. F.","Ann Fraser Tytler",1783,1857,Female,https://www.victorianresearch.org/atcl/show_author.php?aid=3423
"Wilde, O.","Oscar Wilde",1854,1900,Male,https://en.wikipedia.org/wiki/Oscar_Wilde
"Yonge, C. M.","Charlotte Mary Yonge",1823,1901,Female,https://en.wikipedia.org/wiki/Charlotte_Mary_Yonge
